Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_mean,Ed_variance,Ed_not_zero_mean,Ed_not_zero_variance,Ed_region_mean,Ed_region_rc_mean,Ed_region_variance,Ed_region_max,Ed_region_min,Ed_region_top_50,Ed_region_top_25,Fp_region_ratio_mean,Fp_non_region_ratio_mean,Fp_cell_ratio_mean,Fp_region_pixels,Fp_non_region_pixels,Fp_cell_pixels,Fp_cell_MCC,Fp_region_PCC,Fp_cell_PCC,Fp_region_MOC,Fp_cell_MOC,Rc_cell_mean,Rc_cell_max,Rc_cell_min,Rc_cell_var,Rc_region_mean,Rc_region_max,Rc_region_min,Rc_region_var,Rc_non_region_mean,Rc_non_region_max,Rc_non_region_min,Rc_non_region_var
A549,4,control,0,0,0,1,0.10751619935035706,0.0011055110953748226,0.10759232938289642,0.0010981032392010093,0.18583820760250092,0.9794540405273438,0.0018890372011810541,0.2835559546947479,0.08991818875074387,0.22157053649425507,0.24262140691280365,0.7891321182250977,0.5713149,0.57292455,188,25252,25440,0.49876112,0.7548747062683105,0.8844397,0.9912270307540894,0.9876696,0.8003687,1.6955397,0,0.012156376,0.9794540405273438,1.428221583366394,0.5948286056518555,0.026603039354085922,0.79903543,1.6955397,0,0.011808272
A549,4,control,1,0,0,1,0.2655792534351349,0.001087075681425631,0.2655792534351349,0.001087075681425631,0.256836861371994,2.4229438304901123,0.002112933900207281,0.3697148561477661,0.13323283195495605,0.2945566177368164,0.3174012303352356,1.9830946922302246,2.1283174,2.1252859,665,31191,31856,0.82669944,0.6482853293418884,0.616483,0.9931533932685852,0.98936695,2.738117,4.3664603,1.6699888,0.15224205,2.4229438304901123,3.201599359512329,1.6878383159637451,0.07991810142993927,2.7448368,4.3664603,1.6699888,0.15162104
A549,4,control,10,0,0,1,0.09741241484880447,0.0029327240772545338,0.11269181221723557,0.0016708665061742067,0.15359658002853394,0.9544983506202698,0.002130434149876237,0.2819846272468567,0.03327317163348198,0.19169050455093384,0.21219445765018463,0.7205255031585693,0.68703973,0.6875823,623,37825,38448,0.76599514,0.05378728359937668,0.6372239,0.9779543280601501,0.9801732,0.925104,2.4283633,0,0.19715624,0.9544983506202698,1.701560616493225,0.4331403076648712,0.0527375228703022,0.92461985,2.4283633,0,0.19952044
A549,4,control,10,0,0,2,0.19605623185634613,0.011560598388314247,0.24149231612682343,0.00326730590313673,0.18096742033958435,2.1960768699645996,0.000963691039942205,0.25641196966171265,0.12503597140312195,0.2059365063905716,0.2228468358516693,1.2975165843963623,1.6019921,1.6003503,100,18444,18544,0.57504785,-0.074066058,0.5784842,0.9965253472328186,0.98878986,2.6021457,5.7006383,0,1.9156457,2.1960768699645996,2.7533180713653564,1.6963216066360474,0.05435594171285629,2.604347,5.7006383,0,1.9248388
A549,4,control,11,0,0,1,0.1641286462545395,0.005079282913357019,0.17570774257183075,0.0034030815586447716,0.1569952666759491,1.708918809890747,0.004022809211164713,0.30602383613586426,0,0.20821906626224518,0.24030037224292755,1.1010303497314453,1.4272438,1.4237872,374,34922,35296,0.7499637,0.5515921115875244,0.5106738,0.982354462146759,0.9841465,2.7312047,6.5232525,0,0.9843003,1.708918809890747,3.406684637069702,1.0317119359970093,0.1782909333705902,2.742153,6.5232525,0,0.9816202
A549,4,control,11,0,0,2,0.03346751630306244,0.002684120088815689,0.1029944121837616,0.0010993474861606956,0.046056848019361496,0.36868926882743835,0.0022736806422472,0.14394162595272064,0,0.08963626623153687,0.11182344704866409,0.48245230317115784,0.55673206,0.55627334,202,32502,32704,0.7726435,0.1491650640964508,0.6335546,0.9956763386726379,0.99088806,0.2836771,1.4317559,0,0.17316735,0.36868926882743835,0.8560291528701782,0,0.11873634159564972,0.28314877,1.4317559,0,0.17346045
A549,4,control,11,0,0,3,0.10648062825202942,0.010006338357925415,0.1825885772705078,0.003262011567130685,0.1457459032535553,1.3350831270217896,0.00411463575437665,0.3367162048816681,0,0.19481416046619415,0.23597826063632965,0.854852020740509,0.91512966,0.9145237,479,47169,47648,0.7884504,0.004819199442863464,0.61954886,0.9780999422073364,0.98996806,0.9885706,3.9598064,0,0.77201545,1.3350831270217896,2.298922061920166,0,0.11266346275806427,0.9850518,3.9598064,0,0.7774794
A549,4,control,11,0,0,4,0.18864858150482178,0.0007618323434144258,0.18864858150482178,0.0007618323434144258,0.18934516608715057,1.628659963607788,0.0007509661954827607,0.2909397780895233,0.13997963070869446,0.209764301776886,0.22730082273483276,1.3144311904907227,1.3674762,1.3669442,200,19736,19936,0.88824993,0.6112462282180786,0.9080054,0.9968946576118469,0.9961045,1.7586926,2.7870631,1.2817534,0.034320865,1.628659963607788,1.8516584634780884,1.4061262607574463,0.009462731890380383,1.7600102,2.7870631,1.2817534,0.034399685
A549,4,control,11,0,0,5,0.1253022402524948,0.0011005098931491375,0.1253836303949356,0.0010910219280049205,0.11025018990039825,1.4784400463104248,0.0008129719062708318,0.18635466694831848,0.025251958519220352,0.13299550116062164,0.14610746502876282,0.975871741771698,1.0330386,1.0323063,454,34986,35440,0.8840667,0.3734164834022522,0.83136606,0.9944971203804016,0.9932262,1.6459013,2.7389102,0,0.050511595,1.4784400463104248,1.9404851198196411,0.9776855111122131,0.02852565422654152,1.6480744,2.7389102,0,0.05042827
A549,4,control,12,0,0,1,0.25454455614089966,0.0011563688749447465,0.25454455614089966,0.0011563688749447465,0.19147434830665588,1.2566328048706055,0.0002548181510064751,0.22955702245235443,0.14512358605861664,0.20439766347408295,0.21221834421157837,0.9900017380714417,1.3904718,1.3887042,100,22556,22656,0.8258637,0.320150762796402,0.4736779,0.9985380172729492,0.9878692,1.7953305,2.9305735,1.0721061,0.09713493,1.2566328048706055,1.5432180166244507,1.1146271228790283,0.005704734940081835,1.7977188,2.9305735,1.0721061,0.09624802
A549,4,control,12,0,0,2,0.3146313726902008,0.022486263886094093,0.3765397071838379,0.0035998327657580376,0.30175358057022095,3.1199724674224854,0.0018419125117361546,0.41497358679771423,0.16650322079658508,0.3363843858242035,0.3552325963973999,1.9298923015594482,2.4123948,2.407509,400,39104,39504,0.69654936,0.1437569260597229,0.45638692,0.9930306673049927,0.9882701,3.6009107,7.8744287,0,3.0465968,3.1199724674224854,4.912811279296875,2.106005907058716,0.2091323882341385,3.6058304,7.8744287,0,3.0732312
A549,4,control,12,0,0,3,0.13371488451957703,0.016828501597046852,0.24207110702991486,0.004235617350786924,0.19866114854812622,2.192671537399292,0.003367612138390541,0.35982540249824524,0.060128044337034225,0.2446739673614502,0.27455848455429077,1.246647834777832,1.2799746,1.2795632,488,39032,39520,0.80598104,0.44385772943496704,0.5355103,0.9918513894081116,0.9850669,1.484797,5.378439,0,1.984545,2.192671537399292,3.268354892730713,1.3127833604812622,0.12877121567726135,1.4759469,5.378439,0,2.0014038
A549,4,control,12,0,0,4,0.13548803329467773,0.004400808829814196,0.14601562917232513,0.0032055641058832407,0.17040303349494934,2.0736961364746094,0.006349391769617796,0.36607876420021057,0,0.2362179160118103,0.27134639024734497,1.4416135549545288,1.1170193,1.1227468,500,27836,28336,0.28506762,0.8916380405426025,0.8494549,0.9834024310112,0.9849194,1.8549398,3.8858297,0,0.37695727,2.0736961364746094,2.904703140258789,1.228611707687378,0.10218014568090439,1.8510104,3.8858297,0,0.38101792
A549,4,control,12,0,0,5,0.07200782001018524,0.00248286547139287,0.08599524199962616,0.0017623071325942874,0.08296773582696915,1.4028538465499878,0.0025246981531381607,0.2335948795080185,0,0.12456122785806656,0.14886006712913513,0.923996090888977,1.0929224,1.0903945,839,55225,56064,0.90300804,0.40818244218826294,0.7543888,0.9844371676445007,0.9873949,1.7174667,4.5166006,0,0.62304825,1.4028538465499878,2.750452756881714,0.6700438857078552,0.10095931589603424,1.7222462,4.5166006,0,0.6294534
A549,4,control,13,0,0,1,0.1905965954065323,0.0018400682602077723,0.1905965954065323,0.0018400682602077723,0.16449926793575287,1.3988027572631836,0.0009467549389228225,0.2473922073841095,0.09357987344264984,0.1889365315437317,0.20567387342453003,0.989948570728302,1.2679542,1.2665302,100,19420,19520,0.55061704,0.18378101289272308,0.4636536,0.9940121173858643,0.98870075,1.9751233,3.3769166,0.8982559,0.13495998,1.3988027572631836,1.9014673233032227,0.9478707313537598,0.045761920511722565,1.978091,3.3769166,0.8982559,0.13370016
A549,4,control,13,0,0,2,0.41004592180252075,0.00843504723161459,0.4192641079425812,0.004759839735925198,,,,,,,,,6.108545,6.108545,0,26016,26016,0.99974763,,0.71444786,,0.9790493,8.133487,14.750537,0,3.8418005,,,,,8.133487,14.750537,0,3.8418005
A549,4,control,13,0,0,3,0.15897056460380554,0.001390548306517303,0.15897530317306519,0.0013898377073928714,0.1833110749721527,0.8176748752593994,0.004695730749517679,0.36601170897483826,0.044037386775016785,0.24122625589370728,0.273347407579422,0.6876180171966553,0.7330841,0.73243356,481,33135,33616,0.56449646,0.9333701133728027,0.9262091,0.9903922080993652,0.99047154,0.96127355,1.9527006,0.46069145,0.021658512,0.8176748752593994,1.1251899003982544,0.558774471282959,0.010806684382259846,0.96335816,1.9527006,0.46069145,0.02151236
A549,4,control,13,0,0,4,0.17343942821025848,0.008007803931832314,0.19576986134052277,0.004667182918637991,0.14426124095916748,3.89597225189209,0.0028170158620923758,0.31701740622520447,0,0.18627655506134033,0.21228566765785217,2.021601676940918,2.4259515,2.416784,736,31728,32464,0.7896322,0.5118029117584229,0.5004745,0.9934043884277344,0.985813,4.9088845,12.322035,0,4.40364,3.89597225189209,4.998301982879639,2.3987810611724854,0.25739675760269165,4.932381,12.322035,0,4.4754686
A549,4,control,13,0,0,5,0.16234274208545685,0.0011358578922227025,0.16234274208545685,0.0011358578922227025,0.16859406232833862,0.970207929611206,0.0036227088421583176,0.3293086886405945,0.05459648370742798,0.2188214808702469,0.25009390711784363,0.7819828987121582,0.915747,0.9138251,400,27440,27840,0.8287223,0.80877685546875,0.8176111,0.9878837466239929,0.9907858,1.2532008,2.3305466,0.6576655,0.041025463,0.970207929611206,1.3358513116836548,0.7032822370529175,0.018600627779960632,1.2573259,2.3305466,0.6576655,0.04016792
